date,region,category,price,quantity,revenue
2023-01-01 00:00:00.000000000,West,B,22.19,4,98.96
2023-01-01 05:50:31.010336778,West,A,89.91,9,843.65
2023-01-01 11:41:02.020673557,South,C,93.93,5,464.42
2023-01-01 17:31:33.031010336,West,A,50.1,6,309.04
2023-01-01 23:22:04.041347115,West,B,44.94,10,429.47
2023-01-02 05:12:35.051683894,South,D,33.18,10,314.53
2023-01-02 11:03:06.062020673,West,B,69.16,2,137.07
2023-01-02 16:53:37.072357452,North,B,54.34,2,104.34
2023-01-02 22:44:08.082694231,West,A,96.78,3,307.18
2023-01-03 04:34:39.093031010,East,C,82.09,1,89.92
2023-01-03 10:25:10.103367789,West,B,50.97,1,53.37
2023-01-03 16:15:41.113704568,North,D,82.1,4,327.78
2023-01-03 22:06:12.124041347,North,B,13.75,9,131.08
2023-01-04 03:56:43.134378126,North,B,79.25,1,87.46
2023-01-04 09:47:14.144714904,West,C,10.29,8,77.64
2023-01-04 15:37:45.155051683,North,D,36.35,4,146.6
2023-01-04 21:28:16.165388462,West,C,64.98,4,276.09
2023-01-05 03:18:47.175725241,East,A,92.17,3,286.63
2023-01-05 09:09:18.186062020,West,C,37.01,10,407.8
2023-01-05 14:59:49.196398799,North,C,32.37,1,33.56
2023-01-05 20:50:20.206735578,North,A,69.98,7,517.75
2023-01-06 02:40:51.217072357,West,B,98.88,6,649.01
2023-01-06 08:31:22.227409136,West,A,52.14,7,369.73
2023-01-06 14:21:53.237745915,West,B,21.1,6,129.2
2023-01-06 20:12:24.248082694,South,B,92.44,6,570.95
2023-01-07 02:02:55.258419473,East,D,95.15,5,446.64
2023-01-07 07:53:26.268756252,North,D,34.99,6,216.47
2023-01-07 13:43:57.279093031,North,D,56.77,1,53.43
2023-01-07 19:34:28.289429809,East,D,23.93,2,49.33
2023-01-08 01:24:59.299766588,East,B,11.32,2,23.15
2023-01-08 07:15:30.310103367,South,D,39.18,3,113.14
2023-01-08 13:06:01.320440146,East,C,99.18,10,1060.3
2023-01-08 18:56:32.330776925,North,B,56.18,7,412.61
2023-01-09 00:47:03.341113704,West,D,88.88,5,448.62
2023-01-09 06:37:34.351450483,West,A,16.07,9,155.56
2023-01-09 12:28:05.361787262,South,B,35.57,1,34.53
2023-01-09 18:18:36.372124041,East,C,52.2,9,485.91
2023-01-10 00:09:07.382460820,North,D,78.56,8,657.75
2023-01-10 05:59:38.392797599,South,B,93.04,5,487.91
2023-01-10 11:50:09.403134378,North,A,45.37,8,353.89
2023-01-10 17:40:40.413471157,East,C,93.62,3,266.98
2023-01-10 23:31:11.423807936,South,C,54.97,9,501.18
2023-01-11 05:21:42.434144714,South,D,82.18,2,157.32
2023-01-11 11:12:13.444481493,North,D,90.69,7,617.11
2023-01-11 17:02:44.454818272,West,D,53.39,2,108.48
2023-01-11 22:53:15.465155051,North,B,86.31,10,845.31
2023-01-12 04:43:46.475491830,North,C,34.9,2,62.43
2023-01-12 10:34:17.485828609,South,D,40.62,7,288.52
2023-01-12 16:24:48.496165388,South,B,19.46,10,194.28
2023-01-12 22:15:19.506502167,West,B,57.08,3,159.0
2023-01-13 04:05:50.516838946,South,D,68.37,9,631.83
2023-01-13 09:56:21.527175725,West,A,90.97,4,375.29
2023-01-13 15:46:52.537512504,South,A,19.35,4,74.88
2023-01-13 21:37:23.547849283,North,A,38.06,6,251.4
2023-01-14 03:27:54.558186062,West,B,17.03,5,87.23
2023-01-14 09:18:25.568522841,East,A,94.41,6,542.35
2023-01-14 15:08:56.578859619,East,C,96.32,5,491.63
2023-01-14 20:59:27.589196398,West,D,27.21,2,51.55
2023-01-15 02:49:58.599533177,West,B,95.86,1,91.46
2023-01-15 08:40:29.609869956,West,C,49.96,7,346.72
2023-01-15 14:31:00.620206735,South,D,33.71,1,32.64
2023-01-15 20:21:31.630543514,East,D,70.29,9,661.15
2023-01-16 02:12:02.640880293,West,A,43.86,8,310.35
2023-01-16 08:02:33.651217072,North,D,98.69,2,202.32
2023-01-16 13:53:04.661553851,South,C,70.04,3,204.54
2023-01-16 19:43:35.671890630,East,D,99.23,8,789.95
2023-01-17 01:34:06.682227409,North,C,97.62,8,830.05
2023-01-17 07:24:37.692564188,West,B,26.33,10,257.86
2023-01-17 13:15:08.702900967,North,B,49.72,1,47.42
2023-01-17 19:05:39.713237746,South,A,70.55,6,420.98
